x,y,u,v,T,c,dudx,dudy,dvdx,dvdy,H2,O2,H2O,H,O,OH,HO2,H2O2,N2,omega_H2,omega_O2,omega_H2O,omega_H,omega_O,omega_OH,omega_HO2,omega_H2O2,omega_N2,Le_def
327.9324035644531,10.5,6.182070255279541,0.014346713200211525,4.310520648956299,0.8388582906514133,0.017600634861723,0.14364718946309887,-0.023698032375012938,0.028586514542520005,2.669002014954458e-07,0.1526586264371872,0.09099391847848892,6.119679873961559e-09,3.4822664929379243e-06,7.834660209482536e-05,3.416599270167353e-07,2.553592253207171e-07,0.7562647461891174,-2.5364985558106408e-05,6.755773396085747e-05,5.664341791595195e-05,-2.3411338759452927e-05,-0.00014990025269038873,-2.5447116718348327e-05,-2.7131071910399358e-06,-5.492651023424947e-06,0.0,0.29957892118243434
328.0249938964844,10.5,6.183691501617432,0.012163814157247543,4.32349967956543,0.842147068636991,0.01745781871425277,0.14290197278465028,-0.023441485050949562,0.024375582755362085,2.6575688139018894e-07,0.15226121246814728,0.09129311889410019,6.117212070222422e-09,3.4876534300565254e-06,7.926958642201498e-05,3.352668045408791e-07,2.486267760559713e-07,0.7563620805740356,-2.4461397566422165e-05,6.65068863117318e-05,5.07300919975403e-05,-2.3564001622693506e-05,-0.00015213461129052,-1.529872098388451e-05,-2.6358660909411274e-06,-5.519400082358564e-06,0.0,0.29963449247454443
328.2305603027344,10.5,6.187312126159668,0.007422961760312319,4.351378440856934,0.8492113139694715,0.017949050833547912,0.14133022081933128,-0.022631921724508126,0.015210238626530287,2.6319526114093605e-07,0.15140855312347412,0.09194239228963852,6.097198301802109e-09,3.4935096664412413e-06,8.120980055537075e-05,3.215627373265306e-07,2.344044389701594e-07,0.7565635442733765,-2.249198339982267e-05,6.415112410415079e-05,3.783405392941126e-05,-2.384339424305892e-05,-0.00015683152802812994,6.759369016344882e-06,-2.464027293464647e-06,-5.568044269499248e-06,0.0,0.2997543177478333
328.5206604003906,10.5,6.192822456359863,0.0010785775957629085,4.3880205154418945,0.8584961097196362,0.020343467927790845,0.1391180159133055,-0.021027026259813338,0.0029000262721888886,2.594342163320107e-07,0.15029071271419525,0.09281148761510849,6.034460930948171e-09,3.4868382954300614e-06,8.363436063518748e-05,3.0350466317941027e-07,2.1613594469727104e-07,0.7568098902702332,-1.9857633516968573e-05,6.0808197982435e-05,2.057066587348242e-05,-2.4076995988004623e-05,-0.00016261470263237752,3.609293081430689e-05,-2.223290480951841e-06,-5.609354529189061e-06,0.0,0.2999129202224593
328.8560485839844,10.5,6.200384140014648,-0.0055893417447805405,4.4257683753967285,0.8680611022495707,0.02502942577234272,0.13653379075460723,-0.018658252600017213,-0.010098553685643722,2.546963457916718e-07,0.14914417266845703,0.09372952580451965,5.913257883349843e-09,3.4571930882520974e-06,8.589589560870081e-05,2.8459268719416286e-07,1.9764652847698017e-07,0.7570362091064453,-1.7111813304414144e-05,5.6967557684641656e-05,2.5674777069512364e-06,-2.4091858459842715e-05,-0.00016773063280733132,6.636492897657404e-05,-1.9524899236717873e-06,-5.615954699066865e-06,0.0,0.30007793641650354
329.1914367675781,10.5,6.209753036499023,-0.011396120302379131,4.45816707611084,0.8762706624916838,0.0309824166972885,0.13389245928026397,-0.015924510729093254,-0.021478021517585703,2.4937037323979894e-07,0.14816631376743317,0.0945410206913948,5.744809072893986e-09,3.4052370665449416e-06,8.752116264076903e-05,2.6772315209200315e-07,1.81782510821904e-07,0.7572010159492493,-1.4747761218013172e-05,5.320003200236608e-05,-1.288180080985091e-05,-2.38316718030395e-05,-0.00017091411298256158,9.194414579060374e-05,-1.6949460710873444e-06,-5.579201930374363e-06,0.0,0.3002212642384489
327.9324035644531,10.525060653686523,6.185759544372559,0.015062960796058178,4.311987400054932,0.8392299531329018,0.017389007977564656,0.15078292247967404,-0.02483970362938682,0.028574740730085438,2.671852428193233e-07,0.15261338651180267,0.09102876484394073,6.133080709957994e-09,3.487997446427471e-06,7.850924885133281e-05,3.4140543903049547e-07,2.5490862753940746e-07,0.7562749981880188,-2.5327652280681525e-05,6.75767648331902e-05,5.6213868017900035e-05,-2.348215587223557e-05,-0.00015036746375251953,-2.4574489422687482e-05,-2.709658329559419e-06,-5.503063924977267e-06,0.0,0.2995852950520303
328.0249938964844,10.525060653686523,6.187361717224121,0.012774822302162647,4.324904918670654,0.8425031444929555,0.017256293602054214,0.15000630679934898,-0.02457244637244142,0.024387049119699935,2.6603964897731203e-07,0.15221789479255676,0.09132672846317291,6.1300320375323736e-09,3.493141775834374e-06,7.942671800265089e-05,3.3503093277431617e-07,2.4820647581691446e-07,0.7563716173171997,-2.4425094106400824e-05,6.652419544776663e-05,5.030803160107351e-05,-2.363242098038059e-05,-0.00015259043221712575,-1.4441959313885914e-05,-2.6325362705162567e-06,-5.529479212281304e-06,0.0,0.2996406157910707
328.2305603027344,10.525060653686523,6.19094181060791,0.007804871536791325,4.352654457092285,0.84953464582918,0.01775386614732798,0.14834274282676121,-0.02372738881633517,0.015269189299096333,2.6347169068685616e-07,0.15136925876140594,0.09197341650724411,6.108820116423885e-09,3.4984966532647377e-06,8.135518146445975e-05,3.213653769762459e-07,2.340454727800534e-07,0.7565716505050659,-2.2458509184170187e-05,6.416579588752444e-05,3.743513375219836e-05,-2.3906022514186026e-05,-0.00015725857969931797,7.568222169485977e-06,-2.4609192060589383e-06,-5.5772647926486664e-06,0.0,0.29975991593216306
328.5206604003906,10.525060653686523,6.196395397186279,0.0011526932939887047,4.389134883880615,0.8587784813773861,0.02014709437153832,0.1460252659698603,-0.022049540811242888,0.0030158664230092854,2.5969927719415864e-07,0.1502564698457718,0.09283916652202606,6.044600375787468e-09,3.491204097372247e-06,8.376442565349862e-05,3.033545681319083e-07,2.1585017861980305e-07,0.7568163275718689,-1.9828701245994504e-05,6.081938310710827e-05,2.020133999884922e-05,-2.413282603557177e-05,-0.00016300714864448773,3.684341853839022e-05,-2.2205060984402607e-06,-5.617681955043804e-06,0.0,0.29991785418912975
